,isced11,genero,edad,edad_ingresos,geo,periodo,satisfaccion_general,mediana_ingresos,media_ingresos,no_afrontar_imprevistos(%)
130,ED0-2,F,Y16-24,Y16-24,BG,2023-01-01,6.2,6001.0,7104.0,46.7
131,ED0-2,F,Y16-24,Y16-24,BG,2024-01-01,7.0,6963.0,8537.0,45.6
132,ED0-2,F,Y16-24,Y16-24,CY,2021-01-01,7.3,16201.0,18397.0,43.4
133,ED0-2,F,Y16-24,Y16-24,CY,2022-01-01,7.7,17344.0,19912.0,39.7
134,ED0-2,F,Y16-24,Y16-24,CY,2023-01-01,8.1,18544.0,20736.0,37.6
135,ED0-2,F,Y16-24,Y16-24,CY,2024-01-01,8.1,20106.0,22121.0,34.8
136,ED0-2,F,Y16-24,Y16-24,CZ,2021-01-01,8.0,10444.0,11561.0,18.1
137,ED0-2,F,Y16-24,Y16-24,CZ,2022-01-01,8.0,11974.0,13004.0,17.5
138,ED0-2,F,Y16-24,Y16-24,CZ,2023-01-01,8.3,12934.0,13912.0,19.7
139,ED0-2,F,Y16-24,Y16-24,CZ,2024-01-01,8.1,14151.0,15288.0,19.2
140,ED0-2,F,Y16-24,Y16-24,DE,2021-01-01,7.44,22501.0,25640.0,32.3
141,ED0-2,F,Y16-24,Y16-24,DE,2022-01-01,6.3,22349.0,25079.0,33.9
142,ED0-2,F,Y16-24,Y16-24,DE,2023-01-01,7.3,23360.0,26079.0,35.0
143,ED0-2,F,Y16-24,Y16-24,DE,2024-01-01,7.3,24711.0,27673.0,32.2
144,ED0-2,F,Y16-24,Y16-24,DK,2021-01-01,6.7,24285.0,26603.0,19.5
145,ED0-2,F,Y16-24,Y16-24,DK,2022-01-01,7.1,26869.0,31587.0,20.2
146,ED0-2,F,Y16-24,Y16-24,DK,2023-01-01,7.4,27632.0,30385.0,23.1
147,ED0-2,F,Y16-24,Y16-24,DK,2024-01-01,7.4,28045.0,29538.0,21.1
148,ED0-2,F,Y16-24,Y16-24,EE,2021-01-01,7.6,11950.0,13043.0,27.1
149,ED0-2,F,Y16-24,Y16-24,EE,2022-01-01,7.7,13733.0,15477.0,31.3
150,ED0-2,F,Y16-24,Y16-24,EE,2023-01-01,7.7,14873.0,15775.0,30.2
151,ED0-2,F,Y16-24,Y16-24,EE,2024-01-01,7.7,16616.0,17571.0,34.7
152,ED0-2,F,Y16-24,Y16-24,EL,2021-01-01,7.4,7622.0,8555.0,46.3
153,ED0-2,F,Y16-24,Y16-24,EL,2022-01-01,7.7,8330.0,9671.0,43.6
154,ED0-2,F,Y16-24,Y16-24,EL,2023-01-01,7.6,8400.0,9528.0,44.3
155,ED0-2,F,Y16-24,Y16-24,EL,2024-01-01,7.5,9821.0,10852.0,43.9
156,ED0-2,F,Y16-24,Y16-24,ES,2021-01-01,7.5,14088.0,16272.0,33.4
157,ED0-2,F,Y16-24,Y16-24,ES,2022-01-01,7.7,14941.0,17062.0,35.5
158,ED0-2,F,Y16-24,Y16-24,ES,2023-01-01,7.8,16500.0,19162.0,37.1
159,ED0-2,F,Y16-24,Y16-24,ES,2024-01-01,7.7,17673.0,19946.0,35.9
160,ED0-2,F,Y16-24,Y16-24,EU27_2020,2021-01-01,7.44,16781.0,18942.0,29.45
161,ED0-2,F,Y16-24,Y16-24,EU27_2020,2022-01-01,7.4,17429.0,19664.0,30.19
162,ED0-2,F,Y16-24,Y16-24,EU27_2020,2023-01-01,7.6,18530.0,20847.0,30.65
163,ED0-2,F,Y16-24,Y16-24,EU27_2020,2024-01-01,7.5,19602.0,21729.0,29.68
164,ED0-2,F,Y16-24,Y16-24,FI,2021-01-01,7.8,20196.0,24139.0,23.5
165,ED0-2,F,Y16-24,Y16-24,FI,2022-01-01,7.7,21325.0,23864.0,23.2
166,ED0-2,F,Y16-24,Y16-24,FI,2023-01-01,7.5,21502.0,24001.0,26.0
167,ED0-2,F,Y16-24,Y16-24,FI,2024-01-01,7.7,22813.0,25136.0,27.3
168,ED0-2,F,Y16-24,Y16-24,FR,2021-01-01,7.2,20109.0,23553.0,27.6
169,ED0-2,F,Y16-24,Y16-24,FR,2022-01-01,7.5,20605.0,24366.0,31.4
170,ED0-2,F,Y16-24,Y16-24,FR,2023-01-01,7.4,21703.0,25282.0,29.4
171,ED0-2,F,Y16-24,Y16-24,FR,2024-01-01,7.4,22428.0,24716.0,29.4
172,ED0-2,F,Y16-24,Y16-24,HR,2021-01-01,7.8,7831.0,8552.0,46.5
173,ED0-2,F,Y16-24,Y16-24,HR,2022-01-01,8.1,8906.0,9418.0,44.8
174,ED0-2,F,Y16-24,Y16-24,HR,2023-01-01,8.3,9695.0,10291.0,41.4
175,ED0-2,F,Y16-24,Y16-24,HR,2024-01-01,8.3,12575.0,13579.0,34.9
176,ED0-2,F,Y16-24,Y16-24,HU,2021-01-01,6.9,6004.0,6626.0,34.8
177,ED0-2,F,Y16-24,Y16-24,HU,2022-01-01,7.7,6291.0,6960.0,33.7
178,ED0-2,F,Y16-24,Y16-24,HU,2023-01-01,7.3,6814.0,7634.0,31.5
179,ED0-2,F,Y16-24,Y16-24,HU,2024-01-01,7.8,8116.0,8707.0,28.6
180,ED0-2,F,Y16-24,Y16-24,IE,2021-01-01,6.9,27002.0,30518.0,29.1
181,ED0-2,F,Y16-24,Y16-24,IE,2022-01-01,7.3,28785.0,32588.0,33.1
182,ED0-2,F,Y16-24,Y16-24,IE,2023-01-01,7.4,28687.0,34156.0,34.4
183,ED0-2,F,Y16-24,Y16-24,IE,2024-01-01,7.4,31874.0,36650.0,31.5
184,ED0-2,F,Y16-24,Y16-24,IT,2021-01-01,7.6,15485.0,17427.0,32.7
185,ED0-2,F,Y16-24,Y16-24,IT,2022-01-01,7.6,16596.0,18765.0,32.9
186,ED0-2,F,Y16-24,Y16-24,IT,2023-01-01,7.5,17906.0,20138.0,28.8
187,ED0-2,F,Y16-24,Y16-24,IT,2024-01-01,7.4,18351.0,20739.0,29.9
188,ED0-2,F,Y16-24,Y16-24,LT,2021-01-01,7.7,9680.0,11335.0,36.4
189,ED0-2,F,Y16-24,Y16-24,LT,2022-01-01,7.7,10627.0,12490.0,39.3
190,ED0-2,F,Y16-24,Y16-24,LT,2023-01-01,8.2,10998.0,13206.0,40.5
191,ED0-2,F,Y16-24,Y16-24,LT,2024-01-01,8.2,11927.0,14183.0,41.3
192,ED0-2,F,Y16-24,Y16-24,LU,2021-01-01,7.5,36373.0,40719.0,21.3
193,ED0-2,F,Y16-24,Y16-24,LU,2022-01-01,7.4,36732.0,41751.0,18.8
